timestamp,app_name,duration_sec
2025-12-16 23:26:25,com.mobile.legends,25015
2025-12-16 23:26:25,com.ss.android.ugc.trill,10391
2025-12-16 23:26:25,com.whatsapp,8141
2025-12-16 23:26:25,com.google.android.youtube,7653
2025-12-16 23:26:25,Mentarooms,5539
2025-12-16 23:26:25,System launcher,4828
2025-12-16 23:26:25,com.instagram.android,2279
2025-12-16 23:26:25,com.facebook.katana,1811
2025-12-16 23:26:25,com.android.chrome,1756
2025-12-16 23:26:25,com.twitter.android,1488
2025-12-16 23:46:27,com.mobile.legends,25015
2025-12-16 23:46:27,com.ss.android.ugc.trill,10428
2025-12-16 23:46:27,com.whatsapp,9233
2025-12-16 23:46:27,com.google.android.youtube,7653
2025-12-16 23:46:27,Mentarooms,5649
2025-12-16 23:46:27,System launcher,4936
2025-12-16 23:46:27,com.instagram.android,2279
2025-12-16 23:46:27,com.facebook.katana,1811
2025-12-16 23:46:27,com.android.chrome,1756
2025-12-16 23:46:27,com.twitter.android,1488
